"list_name","name","label::English (en)"
"sources","4","salary earned off farm"
"sources","5","remittances from a family member emigrated"
"sources","77","other (please specify)"
"waste","score","definition"
"food-self-suff","score","definition"
"food-heritage","score","definition"
"locations","id","name"
"slope","lt-4","< 4 degrees"
"slope","4-15","4 - 15 degrees"
"slope","gt-15","> 15 degrees"
"soil_sample_erosion","absent","Absent"
"soil_sample_erosion","gully","Gully erosion"
"soil_sample_erosion","sheet","Sheet erosion"
"soil_sample_erosion","rill","Rill erosion"
"soil_trees","0","No"
"soil_trees","1-5","< 5 trees, low density with more than 20 m distance"
"soil_trees","5-10","5 - 10 trees, medium density from 10 to 20 m distance"
"soil_trees","gt-10","> 10 trees, high density from 5 to 10 m distance "
"yn_noref","1","Yes"
"yn_noref","0","No"
"soil_cropping_pattern","long_fallow","Long fallow and shifting cultivation"
"soil_cropping_pattern","medium_short_fallow","Medium to short fallow"
"soil_cropping_pattern","permanent_cropping","Permanent cropping (each year, one crop at minimum)"
"cname","221","Almonds, with shell"
"cname","711","Anise, badian, fennel, coriander"
"cname","515","Apples"
"cname","526","Apricots"
"cname","226","Areca nuts"
"cname","366","Artichokes"
"cname","367","Asparagus"
"cname","572","Avocados"
"cname","203","Bambara beans"
"cname","486","Bananas"
"cname","44","Barley"
"cname","558","Berries"
"cname","552","Blueberries"
"cname","216","Brazil nuts, with shell"
"cname","181","Broad beans, horse beans, dry"
"cname","89","Buckwheat"
"cname","358","Cabbages and other brassicas"
"cname","101","Canary seed"
"cname","461","Carobs"
"cname","426","Carrots and turnips"
"cname","217","Cashew nuts, with shell"
"cname","591","Cashewapple"
"cname","125","Cassava"
"cname","378","Cassava leaves"
"cname","265","Castor oil seed"
"cname","393","Cauliflowers and broccoli"
"cname","220","Chestnut"
"cname","191","Chick peas"
"cname","459","Chicory"
"cname","693","Cinnamon (cannella)"
"cname","512","Citrics"
"cname","698","Cloves"
"cname","661","Cocoa, beans"
"cname","249","Coconuts"
"cname","813","Coir"
"cname","554","Cranberries"
"cname","397","Cucumbers and gherkins"
"cname","550","Currants"
"cname","577","Dates"
"cname","754","Dried pyrethrum"
"cname","176","Dry beans"
"cname","689","Dry chillies and peppers"
"cname","195","Dry cow peas"
"cname","403","Dry onions"
"cname","187","Dry peas"
"cname","399","Eggplants (aubergines)"
"cname","569","Figs"
"cname","773","Flax fibre and tow"
"cname","94","Fonio"
"cname","619","Fresh fruit"
"cname","463","Fresh vegetables"
"cname","542","Fruit"
"cname","406","Garlic"
"cname","720","Ginger"
"cname","549","Gooseberries"
"cname","507","Grapefruit (including pomelos)"
"cname","560","Grapes"
"cname","414","Green beans"
"cname","401","Green chillies and peppers"
"cname","656","Green coffee"
"cname","446","Green maize"
"cname","402","Green onions, shallots"
"cname","417","Green peas"
"cname","242","Groundnuts, with shell"
"cname","225","Hazelnuts, with shell"
"cname","777","Hemp tow waste"
"cname","336","Hempseed"
"cname","677","Hops"
"cname","277","Jojoba seed"
"cname","780","Jute"
"cname","310","Kapok fruit"
"cname","592","Kiwi fruit"
"cname","224","Kola nuts"
"cname","407","Leeks, other alliaceous vegetables"
"cname","420","Leguminous vegetables"
"cname","497","Lemons and limes"
"cname","201","Lentils"
"cname","372","Lettuce and chicory"
"cname","333","Linseed"
"cname","210","Lupins"
"cname","56","Maize"
"cname","571","Mangoes, mangosteens, guavas"
"cname","809","Manila fibre (abaca)"
"cname","671","Maté"
"cname","568","Melons"
"cname","299","Melonseed"
"cname","79","Millet"
"cname","103","Mixed grain"
"cname","449","Mushrooms and truffles"
"cname","292","Mustard seed"
"cname","836","Natural rubber"
"cname","702","Nutmeg, mace and cardamoms"
"cname","234","Nuts"
"cname","75","Oats"
"cname","254","Oil palm fruit"
"cname","430","Okra"
"cname","260","Olives"
"cname","490","Oranges"
"cname","600","Papayas"
"cname","534","Peaches and nectarines"
"cname","521","Pears"
"cname","687","Pepper (piper spp.)"
"cname","748","Peppermint"
"cname","587","Persimmons"
"cname","197","Pigeon peas"
"cname","574","Pineapples"
"cname","223","Pistachios"
"cname","489","Plantains and others"
"cname","536","Plums and sloes"
"cname","296","Poppy seed"
"cname","116","Potatoes"
"cname","211","Pulses"
"cname","394","Pumpkins, squash and gourds"
"cname","523","Quinces"
"cname","92","Quinoa"
"cname","788","Ramie"
"cname","270","Rapeseed"
"cname","547","Raspberries"
"cname","27","Rice, paddy"
"cname","71","Rye"
"cname","280","Safflower seed"
"cname","328","Seed cotton"
"cname","289","Sesame seed"
"cname","263","Shea nuts (karite nuts)"
"cname","789","Sisal"
"cname","83","Sorghum"
"cname","530","Sour cherries"
"cname","236","Soybeans"
"cname","723","Spices"
"cname","373","Spinach"
"cname","541","Stone fruit"
"cname","544","Strawberries"
"cname","423","String beans"
